"tick","Marist_KEVs","CVSS_KEVs","EPSS_KEVs","FIFO_KEVs","LIFO_KEVs","Random_KEVs"
59.0,58.0,63.0,33.0,67.0,70.0,63.0
60.0,58.0,63.0,32.0,67.0,70.0,63.0
61.0,57.0,62.0,32.0,67.0,70.0,63.0
62.0,57.0,61.0,32.0,67.0,70.0,63.0
63.0,57.0,61.0,32.0,67.0,70.0,63.0
64.0,57.0,61.0,32.0,67.0,70.0,63.0
65.0,56.0,61.0,32.0,67.0,70.0,62.0
66.0,56.0,60.0,32.0,67.0,70.0,62.0
67.0,56.0,60.0,32.0,67.0,69.0,62.0
68.0,56.0,60.0,32.0,67.0,69.0,62.0
69.0,56.0,60.0,32.0,67.0,69.0,62.0
70.0,55.0,60.0,32.0,67.0,69.0,62.0
71.0,54.0,60.0,32.0,67.0,68.0,62.0
72.0,54.0,60.0,32.0,67.0,68.0,62.0
73.0,54.0,60.0,32.0,67.0,68.0,62.0
74.0,54.0,60.0,32.0,67.0,68.0,62.0
75.0,53.0,60.0,32.0,67.0,68.0,62.0
76.0,53.0,59.0,32.0,67.0,68.0,62.0
77.0,52.0,59.0,32.0,67.0,68.0,62.0
78.0,52.0,58.0,32.0,67.0,68.0,62.0
79.0,52.0,58.0,32.0,67.0,68.0,62.0
80.0,52.0,58.0,32.0,66.0,68.0,62.0
81.0,52.0,58.0,32.0,66.0,68.0,62.0
82.0,52.0,58.0,32.0,66.0,67.0,62.0
83.0,52.0,58.0,32.0,66.0,67.0,62.0
84.0,52.0,57.0,32.0,66.0,67.0,62.0
85.0,52.0,57.0,32.0,66.0,67.0,62.0
86.0,52.0,57.0,32.0,66.0,67.0,62.0
87.0,52.0,57.0,32.0,66.0,67.0,62.0
88.0,52.0,57.0,32.0,66.0,67.0,62.0
89.0,52.0,57.0,31.0,66.0,67.0,62.0
90.0,52.0,57.0,30.0,66.0,67.0,62.0
91.0,52.0,57.0,30.0,66.0,67.0,61.0
92.0,51.0,57.0,30.0,66.0,67.0,61.0
93.0,51.0,57.0,30.0,66.0,67.0,61.0
94.0,51.0,57.0,29.0,66.0,67.0,61.0
95.0,51.0,57.0,29.0,66.0,67.0,61.0
96.0,51.0,57.0,29.0,66.0,67.0,61.0
97.0,51.0,57.0,29.0,66.0,67.0,61.0
98.0,51.0,57.0,28.0,66.0,67.0,61.0
99.0,51.0,56.0,28.0,66.0,67.0,60.0
100.0,51.0,56.0,28.0,66.0,66.0,60.0
101.0,51.0,56.0,28.0,66.0,66.0,60.0
102.0,51.0,56.0,28.0,66.0,66.0,60.0
103.0,51.0,56.0,28.0,66.0,66.0,60.0
104.0,51.0,56.0,28.0,66.0,66.0,60.0
105.0,51.0,56.0,28.0,66.0,66.0,60.0
106.0,51.0,55.0,28.0,66.0,66.0,60.0
107.0,51.0,54.0,28.0,66.0,66.0,60.0
108.0,51.0,54.0,27.0,66.0,66.0,60.0
109.0,51.0,54.0,27.0,66.0,66.0,60.0
110.0,51.0,54.0,27.0,66.0,66.0,60.0
111.0,51.0,53.0,27.0,66.0,65.0,60.0
112.0,50.0,53.0,27.0,66.0,65.0,60.0
113.0,50.0,52.0,27.0,66.0,65.0,60.0
114.0,50.0,52.0,27.0,66.0,65.0,60.0
115.0,50.0,52.0,27.0,65.0,65.0,60.0
116.0,50.0,52.0,27.0,65.0,65.0,60.0
117.0,50.0,52.0,26.0,65.0,65.0,60.0
118.0,50.0,51.0,26.0,65.0,65.0,60.0
119.0,50.0,51.0,26.0,65.0,65.0,60.0
120.0,50.0,51.0,26.0,65.0,64.0,60.0
121.0,50.0,51.0,26.0,65.0,64.0,60.0
122.0,50.0,51.0,26.0,65.0,63.0,60.0
123.0,50.0,51.0,26.0,65.0,63.0,60.0
124.0,50.0,51.0,26.0,65.0,63.0,60.0
125.0,50.0,51.0,26.0,65.0,63.0,60.0
126.0,50.0,51.0,26.0,65.0,63.0,60.0
127.0,50.0,51.0,26.0,65.0,63.0,60.0
128.0,50.0,50.0,26.0,65.0,63.0,59.0
129.0,50.0,50.0,26.0,65.0,63.0,59.0
130.0,50.0,50.0,26.0,65.0,63.0,59.0
131.0,50.0,50.0,26.0,65.0,63.0,59.0
132.0,50.0,50.0,26.0,65.0,63.0,59.0
133.0,50.0,50.0,26.0,65.0,63.0,58.0
134.0,50.0,50.0,26.0,65.0,63.0,58.0
135.0,50.0,50.0,26.0,65.0,63.0,57.0
136.0,50.0,50.0,26.0,64.0,63.0,57.0
137.0,50.0,50.0,26.0,64.0,63.0,57.0
